act_avg,sat_avg,enrollment,city,acceptance_rate,percent_receiving_aid,cost_after_aid,state,hs_gpa_avg,tuition,Institution_name,institution_type,us_rank
32,1400,5400,Princeton,7,60,16793,NJ,3.9,47140,Princeton University,private,1
32,1430,6710,Cambridge,5,55,16338,MA,4,48949,Harvard University,private,2
32,1450,5941,Chicago,8,42,27767,IL,4,54825,University of Chicago,private,3
32,1420,5472,New Haven,6,50,18385,CT,NA,51400,Yale University,private,3
32,1430,6113,New York,6,48,21041,NY,NA,57208,Columbia University,private,5
33,1460,4524,Cambridge,8,58,20331,MA,NA,49892,Massachusetts Institute of Technology,private,5
31,1380,7034,Stanford,5,47,19296,CA,NA,49617,Stanford University,private,5
32,1380,10019,Philadelphia,9,47,25441,PA,3.9,53534,University of Pennsylvania,private,8
31,1380,6609,Durham,11,41,23374,NC,NA,53744,Duke University,private,9
34,1510,979,Pasadena,8,51,23973,CA,NA,49908,California Institute of Technology,private,10
30,1350,4310,Hanover,11,50,23312,NH,NA,52950,Dartmouth College,private,11
32,1420,6117,Baltimore,12,45,30067,MD,3.9,52170,Johns Hopkins University,private,11
32,1400,8353,Evanston,11,43,31087,IL,NA,52678,Northwestern University,private,11
31,1370,6926,Providence,9,41,24482,RI,NA,53419,Brown University,private,14
31,1330,14566,Ithaca,14,44,28068,NY,NA,52853,Cornell University,private,14
32,1410,3893,Houston,15,37,23996,TX,NA,45608,Rice University,private,14
32,1420,6871,Nashville,11,46,23323,TN,3.8,47664,Vanderbilt University,private,14
32,1350,8530,Notre Dame,19,47,29653,IN,NA,51505,University of Notre Dame,private,18
32,1400,7540,St. Louis,17,41,29245,MO,NA,51533,Washington University in St. Louis,private,18
30,1320,7453,Washington,17,34,29667,DC,NA,52300,Georgetown University,private,20
30,1290,6861,Atlanta,25,42,24264,GA,3.7,49392,Emory University,private,21
29,1300,29311,Berkeley,16,23,49614,CA,3.9,42112,University of California--Berkeley,public,21
25,1160,30873,Los Angeles,18,15,42896,CA,3.9,41270,University of California--Los Angeles,public,21
30,1280,18794,Los Angeles,17,33,33112,CA,3.7,54259,University of Southern California,private,21
31,1380,6673,Pittsburgh,22,40,33550,PA,3.8,53910,Carnegie Mellon University,private,25
29,1240,16331,Charlottesville,30,28,28079,VA,4,46975,University of Virginia,public,25
28,1240,4955,Winston-Salem,30,30,24241,NC,NA,51400,Wake Forest University,private,27
29,1310,28983,Ann Arbor,29,25,32856,MI,3.8,47476,University of Michigan--Ann Arbor,public,28
31,1370,5508,Medford,14,34,27034,MA,NA,54318,Tufts University,private,29
29,1250,26135,New York,32,46,41783,NY,3.6,50464,New York University,private,30
27,1190,18523,Chapel Hill,27,41,17815,NC,4,34588,University of North Carolina--Chapel Hill,public,30
30,1260,9309,Chestnut Hill,31,35,30170,MA,NA,53346,Boston College,private,32
28,1250,6276,Williamsburg,37,21,42153,VA,NA,43099,College of William and Mary,public,32
29,1270,3608,Waltham,33,47,29288,MA,3.9,53582,Brandeis University,private,34
30,1320,15489,Atlanta,26,15,39518,GA,3.9,33014,Georgia Institute of Technology,public,34
29,1250,6386,Rochester,38,51,28476,NY,NA,52020,University of Rochester,private,34
28,1220,17944,Boston,29,36,34539,MA,3.6,52082,Boston University,private,37
30,1280,5152,Cleveland,35,48,35248,OH,NA,47500,Case Western Reserve University,private,37
25,1140,21574,Santa Barbara,36,8,44849,CA,4,42423,University of California--Santa Barbara,public,37
31,1330,13473,Boston,29,34,38521,MA,NA,49497,Northeastern University,private,40
29,1250,6377,New Orleans,26,31,35111,LA,3.5,52960,Tulane University,private,40
28,1280,6265,Troy,44,61,35125,NY,3.9,52305,Rensselaer Polytechnic Institute,private,42
NA,1060,27331,Irvine,41,6,43506,CA,4,43530,University of California--Irvine,public,42
25,1140,28127,La Jolla,36,7,42933,CA,4,44197,University of California--San Diego,public,42
27,1180,34554,Gainesville,46,20,36825,FL,4,28658,University of Florida,public,42
29,1230,5080,Bethlehem,26,38,25376,PA,NA,50740,Lehigh University,private,46
26,1110,3542,Malibu,37,51,32416,CA,3.6,51992,Pepperdine University,private,46
24,1050,29546,Davis,42,9,44075,CA,4,42396,University of California--Davis,public,46
28,1210,10849,Coral Gables,38,33,34479,FL,3.6,48484,University of Miami,private,46
27,1234,31710,Madison,53,16,36113,WI,3.8,34782,University of Wisconsin--Madison,public,46
30,1220,6999,Villanova,44,44,35459,PA,3.7,51434,Villanova University,private,46
25,1090,41359,University Park,56,14,41789,PA,3.6,33664,Pennsylvania State University--University Park,public,52
26,1280,33932,Champaign,60,9,35977,IL,NA,31988,University of Illinois--Urbana-Champaign,public,52
27,1160,45831,Columbus,54,9,37032,OH,NA,29659,Ohio State University--Columbus,public,54
26,1140,27951,Athens,54,13,30943,GA,4,30392,University of Georgia,public,54
27,1180,11504,Washington,40,43,37996,DC,NA,53518,George Washington University,private,56
25,1080,30043,West Lafayette,56,16,28383,IN,3.7,28804,Purdue University--West Lafayette,public,56
26,1130,19324,Storrs,49,33,37427,CT,NA,36948,University of Connecticut,public,56
26,1140,40168,Austin,40,7,40558,TX,NA,35766,University of Texas--Austin,public,56
26,1120,30933,Seattle,45,20,47746,WA,3.8,35538,University of Washington,public,56
27,1160,30979,Provo,51,38,13186,UT,3.8,5460,Brigham Young University--Provo,private,61
27,1170,9258,New York,45,NA,NA,NY,3.6,50601,Fordham University,private,61
28,1220,6521,Dallas,49,24,47874,TX,3.7,52498,Southern Methodist University,private,61
25,1090,15218,Syracuse,52,48,33912,NY,3.6,46755,Syracuse University,private,61
28,1210,28472,College Park,48,20,36786,MD,4,33606,University of Maryland--College Park,public,61
28,1200,4432,Worcester,48,62,39995,MA,3.8,48628,Worcester Polytechnic Institute,private,61
26,1150,18599,Clemson,51,7,38923,SC,4,35654,Clemson University,public,67
27,1190,19123,Pittsburgh,55,NA,NA,PA,4,30642,University of Pittsburgh,public,68
26,1150,7901,Washington,26,46,36076,DC,3.7,46615,American University,private,69
NA,1110,36168,Piscataway,57,13,40121,NJ,NA,30023,Rutgers University--New Brunswick,public,69
29,1260,3021,Hoboken,39,40,51810,NJ,3.8,50554,Stevens Institute of Technology,private,69
24,1070,50735,College Station,66,41,26376,TX,NA,30208,Texas A&M University--College Station,public,69
26,1180,34871,Minneapolis,44,23,28170,MN,NA,26603,University of Minnesota--Twin Cities,public,69
NA,1100,25791,Blacksburg,71,NA,NA,VA,3.9,29371,Virginia Tech,public,69
26,1120,14348,Waco,40,53,36761,TX,NA,43790,Baylor University,private,75
29,1250,4612,Golden,40,21,47042,CO,3.8,37436,Colorado School of Mines,public,75
25,1130,23373,Amherst,60,35,35445,MA,3.8,33662,University of Massachusetts--Amherst,public,75
